Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-04-21,28-112,MIA,,MIL,W (+23),1,34:31,9,11,.818,1,2,.500,8,11,.727,2,8,10,8,0,0,5,2,27,25.3,+14
2,2,2013-04-23,28-114,MIA,,MIL,W (+12),1,38:39,6,14,.429,0,3,.000,7,8,.875,1,7,8,6,1,0,4,2,19,14.4,+13
3,3,2013-04-25,28-116,MIA,@,MIL,W (+13),1,32:48,9,14,.643,2,4,.500,2,4,.500,0,5,5,6,0,0,5,2,22,14.9,+14
4,4,2013-04-28,28-119,MIA,@,MIL,W (+11),1,41:06,13,20,.650,0,2,.000,4,7,.571,2,6,8,7,3,1,5,3,30,25.6,+16
5,5,2013-05-06,28-127,MIA,,CHI,L (-7),1,43:44,8,17,.471,1,3,.333,7,9,.778,2,6,8,7,2,1,2,2,24,22.5,-15
6,6,2013-05-08,28-129,MIA,,CHI,W (+37),1,32:29,7,12,.583,1,3,.333,4,8,.500,0,5,5,9,3,0,3,1,19,19.2,+25
7,7,2013-05-10,28-131,MIA,@,CHI,W (+10),1,44:25,6,17,.353,2,4,.500,11,11,1.000,0,8,8,7,2,0,1,0,25,23.8,+7
8,8,2013-05-13,28-134,MIA,@,CHI,W (+23),1,43:12,9,20,.450,1,4,.250,8,9,.889,0,7,7,8,2,0,5,0,27,20.9,+27
9,9,2013-05-15,28-136,MIA,,CHI,W (+3),1,44:26,5,14,.357,1,3,.333,12,15,.800,0,7,7,8,2,0,2,3,23,20.5,+4
10,10,2013-05-22,28-143,MIA,,IND,W (+1),1,46:33,12,24,.500,2,6,.333,4,7,.571,3,7,10,10,0,3,4,5,30,24.1,+3
11,11,2013-05-24,28-145,MIA,,IND,L (-4),1,45:17,14,20,.700,3,7,.429,5,7,.714,4,4,8,3,3,1,5,3,36,30.4,-7
12,12,2013-05-26,28-147,MIA,@,IND,W (+18),1,41:13,8,17,.471,0,1,.000,6,6,1.000,0,4,4,3,0,0,0,0,22,16.6,+22
13,13,2013-05-28,28-149,MIA,@,IND,L (-7),1,43:19,8,18,.444,4,7,.571,4,6,.667,4,2,6,5,1,3,2,6,24,19.4,-3
14,14,2013-05-30,28-151,MIA,,IND,W (+11),1,44:29,13,26,.500,3,7,.429,1,4,.250,0,8,8,6,2,1,3,1,30,21.7,+14
15,15,2013-06-01,28-153,MIA,@,IND,L (-14),1,42:17,10,21,.476,2,4,.500,7,8,.875,0,7,7,6,2,1,4,2,29,22.1,-22
16,16,2013-06-03,28-155,MIA,,IND,W (+23),1,40:49,8,17,.471,1,2,.500,15,16,.938,2,6,8,4,2,1,2,1,32,29.2,+21
17,17,2013-06-06,28-158,MIA,,SAS,L (-4),1,41:35,7,16,.438,1,5,.200,3,4,.750,2,16,18,10,0,0,2,0,18,20.4,-3
18,18,2013-06-09,28-161,MIA,,SAS,W (+19),1,40:33,7,17,.412,1,3,.333,2,2,1.000,1,7,8,7,3,3,2,2,17,17.9,+29
19,19,2013-06-11,28-163,MIA,@,SAS,L (-36),1,39:07,7,21,.333,1,5,.200,0,0,,1,10,11,5,2,0,2,0,15,10.3,-32
20,20,2013-06-13,28-165,MIA,@,SAS,W (+16),1,41:23,15,25,.600,1,2,.500,2,4,.500,3,8,11,4,2,2,1,2,33,29.6,+8
21,21,2013-06-16,28-168,MIA,@,SAS,L (-10),1,43:41,8,22,.364,2,4,.500,7,9,.778,3,3,6,8,4,0,3,1,25,21.2,-9
22,22,2013-06-18,28-170,MIA,,SAS,W (+3),1,49:46,11,26,.423,1,5,.200,9,12,.750,4,6,10,11,3,1,6,3,32,25.8,-1
23,23,2013-06-20,28-172,MIA,,SAS,W (+7),1,45:00,12,23,.522,5,10,.500,8,8,1.000,3,9,12,4,2,0,2,2,37,32.5,+8
