Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-04-19,30-110,CLE,,BOS,W (+13),1,41:55,8,18,.444,1,3,.333,3,4,.750,0,6,6,7,2,1,5,2,20,13.8,+3
2,2,2015-04-21,30-112,CLE,,BOS,W (+8),1,41:48,11,22,.500,1,5,.200,7,8,.875,1,8,9,7,0,2,6,3,30,20.8,+11
3,3,2015-04-23,30-114,CLE,@,BOS,W (+8),1,41:58,13,26,.500,1,5,.200,4,5,.800,1,10,11,4,4,2,2,1,31,27.1,0
4,4,2015-04-26,30-117,CLE,@,BOS,W (+8),1,46:22,10,24,.417,1,7,.143,6,10,.600,0,10,10,8,3,1,6,2,27,18.1,+7
5,5,2015-05-04,30-125,CLE,,CHI,L (-7),1,41:56,9,22,.409,0,3,.000,1,2,.500,4,11,15,9,3,1,6,4,19,15.3,-11
6,6,2015-05-06,30-127,CLE,,CHI,W (+15),1,34:13,13,29,.448,0,2,.000,7,9,.778,3,5,8,5,2,1,2,2,33,24.1,+31
7,7,2015-05-08,30-129,CLE,@,CHI,L (-3),1,43:39,8,25,.320,1,7,.143,10,11,.909,2,6,8,14,1,1,7,4,27,18.4,+1
8,8,2015-05-10,30-131,CLE,@,CHI,W (+2),1,43:09,10,30,.333,1,7,.143,4,4,1.000,2,12,14,8,1,2,8,4,25,11.4,+5
9,9,2015-05-12,30-133,CLE,,CHI,W (+5),1,40:56,14,24,.583,1,5,.200,9,12,.750,2,10,12,6,3,3,0,3,38,38.1,-4
10,10,2015-05-14,30-135,CLE,@,CHI,W (+21),1,41:03,7,23,.304,0,4,.000,1,2,.500,1,8,9,11,0,2,4,4,15,7.9,+20
11,11,2015-05-20,30-141,CLE,@,ATL,W (+8),1,38:02,12,26,.462,0,1,.000,7,8,.875,1,7,8,6,1,0,4,3,31,20.0,+3
12,12,2015-05-22,30-143,CLE,@,ATL,W (+12),1,38:58,10,22,.455,2,7,.286,8,11,.727,1,8,9,11,0,1,4,1,30,24.5,+18
13,13,2015-05-24,30-145,CLE,,ATL,W (+3),1,46:47,14,37,.378,1,6,.167,8,10,.800,8,10,18,13,3,0,6,4,37,29.0,-3
14,14,2015-05-26,30-147,CLE,,ATL,W (+30),1,29:10,10,20,.500,2,6,.333,1,4,.250,0,9,9,7,2,1,1,2,23,20.3,+20
15,15,2015-06-04,30-156,CLE,@,GSW,L (-8),1,45:46,18,38,.474,2,8,.250,6,10,.600,0,8,8,6,0,0,4,2,44,24.8,-3
16,16,2015-06-07,30-159,CLE,@,GSW,W (+2),1,50:20,11,35,.314,3,6,.500,14,18,.778,4,12,16,11,1,1,3,3,39,28.9,0
17,17,2015-06-09,30-161,CLE,,GSW,W (+5),1,46:00,14,34,.412,2,6,.333,10,12,.833,1,11,12,8,4,2,4,1,40,31.6,+7
18,18,2015-06-11,30-163,CLE,,GSW,L (-21),1,40:55,7,22,.318,1,4,.250,5,10,.500,2,10,12,8,0,0,2,5,20,11.4,-15
19,19,2015-06-14,30-166,CLE,@,GSW,L (-13),1,44:46,15,34,.441,3,8,.375,7,9,.778,1,13,14,11,1,0,2,5,40,30.7,-11
20,20,2015-06-16,30-168,CLE,,GSW,L (-8),1,46:42,13,33,.394,2,10,.200,4,8,.500,3,15,18,9,2,0,6,3,32,20.2,-3
