Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-04-16,26-107,MIA,,PHI,W (+8),1,42:43,4,14,.286,0,2,.000,13,14,.929,4,10,14,5,1,3,2,3,21,21.6,+4
2,2,2011-04-18,26-109,MIA,,PHI,W (+21),1,38:55,10,19,.526,1,1,1.000,8,10,.800,1,6,7,6,0,0,0,1,29,25.2,+24
3,3,2011-04-21,26-112,MIA,@,PHI,W (+6),1,44:16,8,15,.533,1,4,.250,7,10,.700,1,14,15,6,1,0,1,1,24,24.2,+8
4,4,2011-04-24,26-115,MIA,@,PHI,L (-4),1,43:33,11,20,.550,0,4,.000,9,11,.818,2,5,7,6,1,1,1,2,31,27.6,-4
5,5,2011-04-27,26-118,MIA,,PHI,W (+6),1,41:40,5,13,.385,2,5,.400,4,5,.800,3,7,10,8,1,0,3,2,16,15.5,+5
6,6,2011-05-01,26-122,MIA,,BOS,W (+9),1,39:54,8,19,.421,1,3,.333,5,9,.556,1,5,6,5,2,2,3,2,22,15.6,+1
7,7,2011-05-03,26-124,MIA,,BOS,W (+11),1,44:03,14,25,.560,2,4,.500,5,8,.625,2,5,7,2,1,1,0,3,35,26.7,+10
8,8,2011-05-07,26-128,MIA,@,BOS,L (-16),1,42:48,6,16,.375,0,3,.000,3,7,.429,2,5,7,4,2,5,4,3,15,10.6,-21
9,9,2011-05-09,26-130,MIA,@,BOS,W (+8),1,50:17,12,28,.429,2,6,.333,9,9,1.000,3,11,14,3,3,0,5,3,35,24.5,+7
10,10,2011-05-11,26-132,MIA,,BOS,W (+10),1,45:43,11,20,.550,5,7,.714,6,9,.667,2,5,7,4,1,1,5,1,33,24.2,+14
11,11,2011-05-15,26-136,MIA,@,CHI,L (-21),1,41:12,5,15,.333,1,3,.333,4,4,1.000,1,5,6,6,2,3,4,2,15,12.2,-14
12,12,2011-05-18,26-139,MIA,@,CHI,W (+10),1,45:39,12,21,.571,2,6,.333,3,7,.429,3,7,10,5,3,0,5,3,29,22.0,+8
13,13,2011-05-22,26-143,MIA,,CHI,W (+11),1,43:55,6,13,.462,1,2,.500,9,9,1.000,1,5,6,10,2,2,0,4,22,26.3,+16
14,14,2011-05-24,26-145,MIA,,CHI,W (+8),1,49:23,11,26,.423,0,1,.000,13,13,1.000,2,4,6,6,2,2,5,4,35,24.8,-1
15,15,2011-05-26,26-147,MIA,@,CHI,W (+3),1,45:46,8,19,.421,3,6,.500,9,11,.818,0,11,11,6,3,2,4,2,28,24.2,+8
16,16,2011-05-31,26-152,MIA,,DAL,W (+8),1,45:15,9,16,.563,4,5,.800,2,2,1.000,0,9,9,5,1,0,1,4,24,21.0,+9
17,17,2011-06-02,26-154,MIA,,DAL,L (-2),1,39:37,8,15,.533,2,7,.286,2,4,.500,1,7,8,4,4,1,5,4,20,15.6,-5
18,18,2011-06-05,26-157,MIA,@,DAL,W (+2),1,45:15,6,14,.429,1,4,.250,4,4,1.000,0,3,3,9,2,0,4,3,17,13.6,+1
19,19,2011-06-07,26-159,MIA,@,DAL,L (-3),1,45:43,3,11,.273,0,3,.000,2,4,.500,3,6,9,7,2,0,4,4,8,5.9,-6
20,20,2011-06-09,26-161,MIA,@,DAL,L (-9),1,45:38,8,19,.421,0,4,.000,1,2,.500,1,9,10,10,0,1,4,3,17,12.4,-11
21,21,2011-06-12,26-164,MIA,,DAL,L (-10),1,40:21,9,15,.600,2,5,.400,1,4,.250,1,3,4,6,1,1,6,2,21,13.6,-24
