Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-04-17,31-109,CLE,,DET,W (+5),1,40:51,9,17,.529,0,3,.000,4,4,1.000,1,5,6,11,2,2,1,3,22,24.8,+18
2,2,2016-04-20,31-112,CLE,,DET,W (+17),1,39:44,12,18,.667,2,4,.500,1,3,.333,1,5,6,3,3,0,5,3,27,19.5,+10
3,3,2016-04-22,31-114,CLE,@,DET,W (+10),1,42:55,8,24,.333,1,6,.167,3,5,.600,1,12,13,7,0,1,5,2,20,9.7,+17
4,4,2016-04-24,31-116,CLE,@,DET,W (+2),1,41:27,9,19,.474,1,6,.167,3,3,1.000,2,9,11,6,2,0,2,4,22,19.0,+5
5,5,2016-05-02,31-124,CLE,,ATL,W (+11),1,40:34,11,21,.524,2,4,.500,1,1,1.000,0,7,7,9,5,1,4,3,25,23.6,+16
6,6,2016-05-04,31-126,CLE,,ATL,W (+25),1,28:08,9,15,.600,4,6,.667,5,9,.556,0,4,4,5,3,0,2,4,27,22.6,+24
7,7,2016-05-06,31-128,CLE,@,ATL,W (+13),1,38:58,8,16,.500,1,4,.250,7,9,.778,2,11,13,8,2,0,5,2,24,21.7,+17
8,8,2016-05-08,31-130,CLE,@,ATL,W (+1),1,37:52,10,23,.435,1,5,.200,0,3,.000,5,5,10,9,2,1,6,2,21,14.9,+2
9,9,2016-05-17,31-139,CLE,,TOR,W (+31),1,28:18,11,13,.846,0,1,.000,2,4,.500,2,4,6,4,2,1,4,3,24,21.4,+20
10,10,2016-05-19,31-141,CLE,,TOR,W (+19),1,33:45,7,13,.538,0,2,.000,9,17,.529,1,10,11,11,3,0,2,2,23,25.1,+16
11,11,2016-05-21,31-143,CLE,@,TOR,L (-15),1,38:50,9,17,.529,1,5,.200,5,7,.714,4,4,8,5,2,0,2,3,24,21.2,-12
12,12,2016-05-23,31-145,CLE,@,TOR,L (-6),1,45:48,11,16,.688,1,3,.333,6,6,1.000,4,5,9,6,2,1,1,3,29,31.2,-3
13,13,2016-05-25,31-147,CLE,,TOR,W (+38),1,31:30,10,17,.588,2,4,.500,1,3,.333,0,6,6,8,2,1,2,2,23,21.6,+32
14,14,2016-05-27,31-149,CLE,@,TOR,W (+26),1,41:15,13,22,.591,3,6,.500,4,7,.571,2,9,11,6,1,3,3,2,33,29.2,+22
15,15,2016-06-02,31-155,CLE,@,GSW,L (-15),1,40:53,9,21,.429,2,4,.500,3,4,.750,4,8,12,9,2,1,4,2,23,20.9,-9
16,16,2016-06-05,31-158,CLE,@,GSW,L (-33),1,33:38,7,17,.412,1,5,.200,4,4,1.000,0,8,8,9,4,1,7,3,19,15.1,-20
17,17,2016-06-08,31-161,CLE,,GSW,W (+30),1,40:04,14,26,.538,1,2,.500,3,5,.600,2,9,11,6,1,2,5,2,32,23.5,+24
18,18,2016-06-10,31-163,CLE,,GSW,L (-11),1,45:34,11,21,.524,1,5,.200,2,4,.500,4,9,13,9,2,3,7,4,25,21.2,-12
19,19,2016-06-13,31-166,CLE,@,GSW,W (+15),1,42:38,16,30,.533,4,8,.500,5,8,.625,4,12,16,7,3,3,2,1,41,39.2,+13
20,20,2016-06-16,31-169,CLE,,GSW,W (+14),1,42:35,16,27,.593,3,6,.500,6,8,.750,2,6,8,11,4,3,1,3,41,42.5,+26
21,21,2016-06-19,31-172,CLE,@,GSW,W (+4),1,46:49,9,24,.375,1,5,.200,8,10,.800,1,10,11,11,2,3,5,1,27,23.1,+4
