Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2012-04-28,27-120,MIA,,NYK,W (+33),1,31:41,10,14,.714,1,1,1.000,11,14,.786,1,3,4,3,4,0,2,2,32,29.9,+35
2,2,2012-04-30,27-122,MIA,,NYK,W (+10),1,40:35,8,18,.444,0,3,.000,3,7,.429,1,6,7,9,2,0,2,1,19,16.4,+10
3,3,2012-05-03,27-125,MIA,@,NYK,W (+17),1,35:50,9,21,.429,2,5,.400,12,13,.923,2,6,8,5,2,0,8,5,32,19.2,+23
4,4,2012-05-06,27-128,MIA,@,NYK,L (-2),1,41:27,9,21,.429,2,5,.400,7,8,.875,0,4,4,4,1,0,5,4,27,13.9,-7
5,5,2012-05-09,27-131,MIA,,NYK,W (+12),1,39:38,7,16,.438,2,6,.333,13,15,.867,1,7,8,7,2,1,4,2,29,25.4,+6
6,6,2012-05-13,27-135,MIA,,IND,W (+9),1,43:15,12,26,.462,0,3,.000,8,10,.800,6,9,15,5,2,1,1,1,32,29.5,+12
7,7,2012-05-15,27-137,MIA,,IND,L (-3),1,42:49,10,22,.455,0,4,.000,8,13,.615,4,5,9,5,6,0,2,0,28,26.4,-7
8,8,2012-05-17,27-139,MIA,@,IND,L (-19),1,40:06,10,22,.455,1,4,.250,1,3,.333,1,6,7,3,2,0,4,1,22,12.0,-9
9,9,2012-05-20,27-142,MIA,@,IND,W (+8),1,43:54,14,27,.519,0,0,,12,16,.750,6,12,18,9,2,2,5,1,40,37.2,+4
10,10,2012-05-22,27-144,MIA,,IND,W (+32),1,38:09,12,19,.632,2,4,.500,4,4,1.000,3,7,10,8,1,1,4,1,30,28.6,+28
11,11,2012-05-24,27-146,MIA,@,IND,W (+12),1,44:46,12,23,.522,0,3,.000,4,5,.800,1,5,6,7,3,0,1,1,28,25.0,+16
12,12,2012-05-28,27-150,MIA,,BOS,W (+14),1,43:53,13,22,.591,0,3,.000,6,9,.667,1,12,13,3,1,3,3,2,32,26.3,+17
13,13,2012-05-30,27-152,MIA,,BOS,W (+4),1,47:39,7,20,.350,2,6,.333,18,24,.750,4,6,10,7,1,1,1,2,34,29.8,+10
14,14,2012-06-01,27-154,MIA,@,BOS,L (-10),1,43:18,16,26,.615,1,4,.250,1,5,.200,0,8,8,5,2,2,3,4,34,25.3,-6
15,15,2012-06-03,27-156,MIA,@,BOS,L (-2),1,48:06,12,25,.480,1,3,.333,4,8,.500,1,5,6,3,1,1,7,6,29,11.3,+1
16,16,2012-06-05,27-158,MIA,,BOS,L (-4),1,45:20,11,25,.440,2,6,.333,6,8,.750,3,10,13,2,2,1,3,1,30,21.9,0
17,17,2012-06-07,27-160,MIA,@,BOS,W (+19),1,44:49,19,26,.731,2,4,.500,5,9,.556,2,13,15,5,0,0,4,3,45,36.4,+22
18,18,2012-06-09,27-162,MIA,,BOS,W (+13),1,47:32,9,21,.429,1,5,.200,12,17,.706,2,10,12,2,1,1,3,0,31,22.4,+13
19,19,2012-06-12,27-165,MIA,@,OKC,L (-11),1,45:50,11,24,.458,1,3,.333,7,9,.778,1,8,9,4,4,0,4,1,30,22.3,-11
20,20,2012-06-14,27-167,MIA,@,OKC,W (+4),1,42:19,10,22,.455,0,2,.000,12,12,1.000,2,6,8,5,1,0,2,4,32,24.7,+6
21,21,2012-06-17,27-170,MIA,,OKC,W (+6),1,43:50,11,23,.478,1,4,.250,6,8,.750,5,9,14,3,0,0,4,1,29,20.4,+8
22,22,2012-06-19,27-172,MIA,,OKC,W (+6),1,44:21,10,20,.500,1,4,.250,5,8,.625,3,6,9,12,2,0,3,2,26,25.3,+8
23,23,2012-06-21,27-174,MIA,,OKC,W (+15),1,44:09,9,19,.474,0,3,.000,8,9,.889,4,7,11,13,1,2,6,2,26,25.5,+20
