Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-15,33-106,CLE,,IND,L (-18),1,43:56,7,17,.412,0,4,.000,10,14,.714,3,7,10,12,1,1,3,2,24,23.8,-13
2,2,2018-04-18,33-109,CLE,,IND,W (+3),1,39:53,17,24,.708,2,5,.400,10,13,.769,1,11,12,5,2,0,3,1,46,40.9,+7
3,3,2018-04-20,33-111,CLE,@,IND,L (-2),1,41:41,10,22,.455,4,7,.571,4,6,.667,3,9,12,8,1,1,6,1,28,21.5,-1
4,4,2018-04-22,33-113,CLE,@,IND,W (+4),1,46:09,12,22,.545,0,5,.000,8,9,.889,2,11,13,7,0,2,1,3,32,29.8,+3
5,5,2018-04-25,33-116,CLE,,IND,W (+3),1,41:49,14,24,.583,1,4,.250,15,15,1.000,3,7,10,8,1,1,5,3,44,38.1,+2
6,6,2018-04-27,33-118,CLE,@,IND,L (-34),1,31:11,7,16,.438,3,6,.500,5,5,1.000,0,5,5,7,1,2,4,3,22,17.2,-24
7,7,2018-04-29,33-120,CLE,,IND,W (+4),1,43:25,16,25,.640,2,3,.667,11,15,.733,2,6,8,7,4,0,4,4,45,38.8,-2
8,8,2018-05-01,33-122,CLE,@,TOR,W (+1),1,46:56,12,30,.400,1,8,.125,1,6,.167,0,11,11,13,1,2,1,2,26,20.8,+5
9,9,2018-05-03,33-124,CLE,@,TOR,W (+18),1,40:30,19,28,.679,1,3,.333,4,8,.500,1,7,8,14,1,0,1,1,43,41.6,+20
10,10,2018-05-05,33-126,CLE,,TOR,W (+2),1,41:16,14,26,.538,1,4,.250,9,11,.818,1,5,6,7,3,1,4,1,38,31.0,+2
11,11,2018-05-07,33-128,CLE,,TOR,W (+35),1,38:24,12,19,.632,0,3,.000,5,8,.625,0,8,8,11,2,1,2,2,29,29.3,+28
12,12,2018-05-13,33-134,CLE,@,BOS,L (-25),1,36:07,5,16,.313,0,5,.000,5,6,.833,0,7,7,9,0,2,7,1,15,7.8,-32
13,13,2018-05-15,33-136,CLE,@,BOS,L (-13),1,38:46,16,29,.552,5,11,.455,5,10,.500,1,9,10,12,0,1,6,3,42,31.4,-9
14,14,2018-05-19,33-140,CLE,,BOS,W (+30),1,37:30,8,12,.667,3,3,1.000,8,10,.800,1,4,5,12,2,2,3,3,27,30.5,+31
15,15,2018-05-21,33-142,CLE,,BOS,W (+9),1,41:53,17,28,.607,1,4,.250,9,13,.692,1,4,5,3,2,0,7,3,44,27.4,+9
16,16,2018-05-23,33-144,CLE,@,BOS,L (-13),1,39:16,11,22,.500,1,6,.167,3,4,.750,0,10,10,5,1,0,6,2,26,15.3,-11
17,17,2018-05-25,33-146,CLE,,BOS,W (+10),1,46:06,17,33,.515,5,7,.714,7,11,.636,3,8,11,9,3,1,3,2,46,38.8,+15
18,18,2018-05-27,33-148,CLE,@,BOS,W (+8),1,48:00,12,24,.500,3,8,.375,8,11,.727,0,15,15,9,0,2,8,4,35,24.4,+8
19,19,2018-05-31,33-152,CLE,@,GSW,L (-10),1,47:32,19,32,.594,3,7,.429,10,11,.909,4,4,8,8,1,1,5,2,51,41.3,-13
20,20,2018-06-03,33-155,CLE,@,GSW,L (-19),1,43:51,10,20,.500,2,4,.500,7,9,.778,1,8,9,13,2,0,5,2,29,26.6,-18
21,21,2018-06-06,33-158,CLE,,GSW,L (-8),1,46:52,13,28,.464,1,6,.167,6,7,.857,3,7,10,11,2,2,4,2,33,28.7,-8
22,22,2018-06-08,33-160,CLE,,GSW,L (-23),1,40:34,7,13,.538,0,1,.000,9,11,.818,1,6,7,8,0,1,6,5,23,16.7,-21
