Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2009-04-18,24-109,CLE,,DET,W (+18),1,40:52,13,20,.650,1,4,.250,11,14,.786,0,8,8,7,1,0,0,1,38,35.9,+22
2,2,2009-04-21,24-112,CLE,,DET,W (+12),1,37:55,7,14,.500,2,5,.400,13,17,.765,1,12,13,6,0,0,2,1,29,26.5,+21
3,3,2009-04-24,24-115,CLE,@,DET,W (+11),1,42:44,9,19,.474,0,5,.000,7,11,.636,2,9,11,9,3,2,2,0,25,26.5,+13
4,4,2009-04-26,24-117,CLE,@,DET,W (+21),1,40:39,10,24,.417,0,3,.000,16,17,.941,1,12,13,8,2,1,2,3,36,32.2,+10
5,5,2009-05-05,24-126,CLE,,ATL,W (+27),1,34:19,12,20,.600,2,6,.333,8,9,.889,3,7,10,3,4,0,3,0,34,31.7,+13
6,6,2009-05-07,24-128,CLE,,ATL,W (+20),1,31:10,9,14,.643,3,5,.600,6,12,.500,0,3,3,5,4,1,0,1,27,27.1,+23
7,7,2009-05-09,24-130,CLE,@,ATL,W (+15),1,43:14,15,25,.600,5,10,.500,12,16,.750,2,10,12,8,1,1,1,2,47,43.8,+26
8,8,2009-05-11,24-132,CLE,@,ATL,W (+10),1,43:25,9,22,.409,3,6,.500,6,9,.667,0,8,8,8,1,0,3,3,27,18.8,+1
9,9,2009-05-20,24-141,CLE,,ORL,L (-1),1,41:14,20,30,.667,3,6,.500,6,10,.600,3,3,6,8,2,3,2,1,49,44.7,+7
10,10,2009-05-22,24-143,CLE,,ORL,W (+1),1,42:32,12,23,.522,1,3,.333,10,12,.833,2,2,4,5,1,0,6,3,35,22.2,-7
11,11,2009-05-24,24-145,CLE,@,ORL,L (-10),1,41:57,11,28,.393,1,8,.125,18,24,.750,0,7,7,9,2,1,2,3,41,31.3,-12
12,12,2009-05-26,24-147,CLE,@,ORL,L (-2),1,49:24,13,29,.448,4,10,.400,14,18,.778,1,11,12,7,1,1,8,5,44,27.9,+6
13,13,2009-05-28,24-149,CLE,,ORL,W (+10),1,45:30,11,24,.458,0,2,.000,15,19,.789,3,11,14,12,1,1,4,3,37,33.3,+11
14,14,2009-05-30,24-151,CLE,@,ORL,L (-13),1,44:53,8,20,.400,2,8,.250,7,11,.636,1,6,7,7,0,1,3,4,25,16.1,-12
