Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2009-10-27,24-301,CLE,,BOS,L (-6),1,44:55,12,22,.545,4,9,.444,10,13,.769,0,4,4,8,2,4,5,4,38,31.2,0
2,2,2009-10-28,24-302,CLE,@,TOR,L (-10),1,39:47,7,19,.368,1,5,.200,8,14,.571,2,9,11,12,2,0,4,1,23,20.2,+2
3,3,2009-10-30,24-304,CLE,@,MIN,W (+17),1,33:26,10,18,.556,2,3,.667,2,3,.667,2,7,9,6,1,1,2,1,24,22.0,+17
4,4,2009-10-31,24-305,CLE,,CHA,W (+11),1,37:14,5,11,.455,0,1,.000,4,6,.667,1,6,7,9,0,0,4,1,14,11.9,+19
5,5,2009-11-03,24-308,CLE,,WAS,W (+12),1,35:59,7,16,.438,2,7,.286,11,13,.846,3,5,8,6,3,0,4,0,27,24.6,+5
6,6,2009-11-05,24-310,CLE,,CHI,L (-1),1,38:13,9,17,.529,1,4,.250,6,9,.667,0,7,7,6,1,1,3,0,25,20.5,-1
7,7,2009-11-06,24-311,CLE,@,NYK,W (+9),1,35:37,12,17,.706,2,4,.500,7,9,.778,0,8,8,9,3,0,7,3,33,28.6,+8
8,8,2009-11-11,24-316,CLE,@,ORL,W (+9),1,39:07,13,23,.565,2,3,.667,8,9,.889,2,6,8,4,1,0,4,2,36,26.9,+7
9,9,2009-11-12,24-317,CLE,@,MIA,W (+7),1,38:53,8,20,.400,2,4,.500,16,18,.889,1,3,4,7,2,1,2,2,34,28.8,+6
10,10,2009-11-14,24-319,CLE,,UTA,W (+4),1,37:33,6,15,.400,0,3,.000,9,12,.750,0,6,6,9,2,1,2,1,21,20.1,+6
11,11,2009-11-17,24-322,CLE,,GSW,W (+6),1,38:32,11,19,.579,1,5,.200,8,10,.800,0,5,5,12,1,2,2,2,31,30.8,+8
12,12,2009-11-18,24-323,CLE,@,WAS,L (-17),1,35:08,12,20,.600,3,7,.429,7,8,.875,0,2,2,9,2,0,6,4,34,25.7,-12
13,13,2009-11-20,24-325,CLE,@,IND,W (+10),1,37:53,13,25,.520,1,3,.333,13,14,.929,2,7,9,7,1,1,2,1,40,35.0,+4
14,14,2009-11-21,24-326,CLE,,PHI,W (+6),1,38:32,13,20,.650,2,4,.500,4,6,.667,0,7,7,9,0,0,5,3,32,24.6,+11
15,15,2009-11-25,24-330,CLE,@,DET,W (+10),1,38:49,12,24,.500,1,4,.250,9,11,.818,1,7,8,7,1,0,5,2,34,24.1,+12
16,16,2009-11-27,24-332,CLE,@,CHA,L (-7),1,38:01,10,19,.526,2,7,.286,3,4,.750,0,6,6,4,0,0,6,4,25,12.3,+3
