Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-17,32-291,CLE,,BOS,W (+3),1,41:12,12,19,.632,1,5,.200,4,4,1.000,1,15,16,9,0,2,4,3,29,28.2,0
2,2,2017-10-20,32-294,CLE,@,MIL,W (+19),1,37:25,10,16,.625,2,4,.500,2,2,1.000,1,4,5,8,1,1,5,2,24,20.2,+13
3,3,2017-10-21,32-295,CLE,,ORL,L (-21),1,31:12,8,15,.533,1,3,.333,5,6,.833,0,4,4,2,1,1,1,0,22,17.6,-31
4,4,2017-10-24,32-298,CLE,,CHI,W (+7),1,37:15,13,20,.650,4,6,.667,4,5,.800,0,2,2,13,3,0,2,1,34,35.1,+7
5,5,2017-10-25,32-299,CLE,@,BRK,L (-5),1,41:22,12,20,.600,1,2,.500,4,8,.500,1,9,10,13,0,4,8,1,29,25.1,-2
6,6,2017-10-28,32-302,CLE,@,NOP,L (-22),1,30:46,6,11,.545,1,3,.333,5,6,.833,0,3,3,8,0,0,4,3,18,13.6,-10
7,7,2017-10-29,32-303,CLE,,NYK,L (-19),1,39:28,7,15,.467,1,4,.250,1,1,1.000,1,9,10,7,2,0,4,2,16,13.8,-17
8,8,2017-11-01,32-306,CLE,,IND,L (-17),1,37:28,14,22,.636,1,5,.200,4,5,.800,1,5,6,11,2,1,8,1,33,27.0,-12
9,9,2017-11-03,32-308,CLE,@,WAS,W (+8),1,42:41,23,34,.676,2,4,.500,9,9,1.000,5,6,11,7,3,2,3,2,57,53.2,+6
10,10,2017-11-05,32-310,CLE,,ATL,L (-2),1,40:35,10,17,.588,0,3,.000,6,6,1.000,2,3,5,13,1,2,6,4,26,24.3,-4
11,11,2017-11-07,32-312,CLE,,MIL,W (+5),1,36:42,10,20,.500,2,4,.500,8,10,.800,1,7,8,9,3,0,1,1,30,29.9,+6
12,12,2017-11-09,32-314,CLE,@,HOU,L (-4),1,40:01,15,24,.625,1,4,.250,2,3,.667,0,4,4,7,1,1,8,4,33,20.0,+5
13,13,2017-11-11,32-316,CLE,@,DAL,W (+7),1,41:47,6,14,.429,1,3,.333,6,8,.750,1,10,11,4,0,1,6,3,19,10.8,+5
14,14,2017-11-13,32-318,CLE,@,NYK,W (+3),1,36:16,7,14,.500,2,4,.500,7,10,.700,3,6,9,12,0,3,5,1,23,23.8,+2
15,15,2017-11-15,32-320,CLE,@,CHO,W (+8),1,36:38,12,24,.500,4,7,.571,3,3,1.000,2,4,6,8,2,1,3,4,31,25.3,+1
16,16,2017-11-17,32-322,CLE,,LAC,W (+5),1,46:08,17,26,.654,4,9,.444,1,5,.200,1,13,14,6,0,0,6,0,39,28.8,+1
17,17,2017-11-20,32-325,CLE,@,DET,W (+28),1,27:16,7,14,.500,3,5,.600,1,1,1.000,0,2,2,8,1,1,0,2,18,18.1,+21
18,18,2017-11-22,32-327,CLE,,BRK,W (+10),1,33:26,11,17,.647,4,7,.571,7,9,.778,1,5,6,5,2,0,3,2,33,28.6,+20
19,19,2017-11-24,32-329,CLE,,CHO,W (+1),1,39:34,10,20,.500,3,8,.375,4,7,.571,1,15,16,13,0,3,3,2,27,28.4,-2
20,20,2017-11-27,32-332,CLE,@,PHI,W (+22),1,31:03,12,23,.522,3,7,.429,3,4,.750,3,11,14,6,0,0,3,0,30,24.9,+1
21,21,2017-11-28,32-333,CLE,,MIA,W (+11),1,28:26,10,16,.625,1,3,.333,0,1,.000,2,10,12,6,5,1,2,1,21,25.3,+26
22,22,2017-11-30,32-335,CLE,@,ATL,W (+7),1,37:34,8,11,.727,3,6,.500,5,7,.714,1,5,6,12,2,2,3,3,24,28.5,+10
23,23,2017-12-02,32-337,CLE,,MEM,W (+5),1,39:09,13,22,.591,0,3,.000,8,8,1.000,0,2,2,12,0,1,5,1,34,28.1,-5
24,24,2017-12-04,32-339,CLE,@,CHI,W (+22),1,34:16,9,15,.600,2,4,.500,3,4,.750,0,7,7,6,2,0,2,1,23,21.6,+27
25,25,2017-12-06,32-341,CLE,,SAC,W (+6),1,41:03,12,18,.667,5,8,.625,3,6,.500,2,9,11,9,3,2,7,0,32,30.8,+2
26,26,2017-12-08,32-343,CLE,@,IND,L (-4),1,39:25,12,22,.545,1,5,.200,4,5,.800,2,8,10,8,1,2,3,1,29,26.4,+3
27,27,2017-12-09,32-344,CLE,,PHI,W (+7),1,38:44,9,23,.391,2,6,.333,10,12,.833,3,10,13,13,3,0,6,1,30,27.5,-3
28,28,2017-12-12,32-347,CLE,,ATL,W (+9),1,35:01,11,13,.846,2,3,.667,1,2,.500,0,7,7,17,2,0,2,4,25,32.3,+19
29,29,2017-12-14,32-349,CLE,,LAL,W (+9),1,38:43,8,18,.444,1,6,.167,8,12,.667,1,11,12,12,2,2,5,0,25,24.8,+14
30,30,2017-12-16,32-351,CLE,,UTA,W (+9),1,36:48,9,15,.600,1,4,.250,10,10,1.000,0,11,11,10,1,0,5,2,29,27.6,0
31,31,2017-12-17,32-352,CLE,@,WAS,W (+7),1,41:21,8,23,.348,2,7,.286,2,3,.667,2,9,11,15,0,1,6,4,20,14.4,+4
32,32,2017-12-19,32-354,CLE,@,MIL,L (-3),1,34:14,14,22,.636,6,11,.545,5,5,1.000,0,1,1,7,3,2,7,1,39,31.4,-7
33,33,2017-12-21,32-356,CLE,,CHI,W (+3),1,39:06,12,23,.522,2,5,.400,8,8,1.000,1,5,6,9,3,0,4,1,34,29.8,+5
34,34,2017-12-25,32-360,CLE,@,GSW,L (-7),1,40:03,7,18,.389,2,7,.286,4,7,.571,1,5,6,6,0,0,7,2,20,7.6,-1
35,35,2017-12-27,32-362,CLE,@,SAC,L (-14),1,37:42,6,17,.353,0,2,.000,4,5,.800,2,8,10,14,5,0,4,2,16,19.9,-11
36,36,2017-12-30,33-000,CLE,@,UTA,L (-3),1,37:27,12,22,.545,1,7,.143,4,5,.800,1,7,8,6,2,1,6,1,29,21.3,-5
37,37,2018-01-02,33-003,CLE,,POR,W (+17),1,33:49,10,17,.588,0,2,.000,4,4,1.000,1,5,6,8,4,1,3,2,24,24.8,0
38,38,2018-01-03,33-004,CLE,@,BOS,L (-14),1,32:42,8,15,.533,0,2,.000,3,3,1.000,0,7,7,6,1,1,4,1,19,15.3,-6
39,39,2018-01-06,33-007,CLE,@,ORL,W (+4),1,37:17,12,23,.522,4,7,.571,5,7,.714,3,7,10,9,6,1,3,1,33,34.7,+15
40,40,2018-01-08,33-009,CLE,@,MIN,L (-28),1,26:35,4,8,.500,1,3,.333,1,3,.333,1,7,8,5,0,2,3,2,10,9.1,-39
41,41,2018-01-11,33-012,CLE,@,TOR,L (-34),1,32:14,9,16,.563,0,1,.000,8,10,.800,0,3,3,1,1,2,2,1,26,19.2,-22
42,42,2018-01-12,33-013,CLE,@,IND,L (-2),1,40:27,11,25,.440,2,9,.222,3,4,.750,2,6,8,11,3,1,5,2,27,22.3,-6
43,43,2018-01-15,33-016,CLE,,GSW,L (-10),1,36:15,12,18,.667,0,2,.000,8,13,.615,2,6,8,6,3,4,8,3,32,26.2,-14
