Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2004-11-03,19-309,CLE,,IND,L (-5),1,50:56,8,19,.421,2,5,.400,10,12,.833,1,4,5,8,1,3,6,2,28,20.9,-10
2,2,2004-11-04,19-310,CLE,@,MIA,L (-6),1,42:20,9,22,.409,2,3,.667,1,1,1.000,3,3,6,8,1,0,1,0,21,17.8,-8
3,3,2004-11-06,19-312,CLE,@,MIL,L (-14),1,41:53,8,20,.400,0,3,.000,15,22,.682,2,6,8,6,3,0,4,0,31,23.8,-12
4,4,2004-11-09,19-315,CLE,@,ATL,W (+14),1,48:00,8,17,.471,1,4,.250,8,12,.667,1,9,10,4,4,2,3,2,25,22.5,+14
5,5,2004-11-10,19-316,CLE,,PHO,W (+5),1,48:21,13,24,.542,1,2,.500,11,12,.917,3,7,10,6,3,3,3,1,38,36.1,+14
6,6,2004-11-13,19-319,CLE,,WAS,W (+31),1,37:24,10,20,.500,0,3,.000,4,5,.800,1,8,9,4,3,2,4,0,24,19.9,+25
7,7,2004-11-15,19-321,CLE,,GSW,W (+11),1,41:58,12,22,.545,3,5,.600,6,8,.750,2,10,12,4,2,1,1,1,33,30.1,+15
8,8,2004-11-18,19-324,CLE,@,CHA,W (+17),1,29:06,8,14,.571,2,3,.667,1,2,.500,1,5,6,9,0,0,1,3,19,18.3,+21
9,9,2004-11-20,19-326,CLE,,CHA,W (+16),1,37:49,11,20,.550,0,2,.000,3,4,.750,5,3,8,2,3,1,7,0,25,17.5,+24
10,10,2004-11-21,19-327,CLE,@,NYK,L (-10),1,40:41,5,15,.333,1,3,.333,2,3,.667,2,7,9,10,1,1,5,3,13,10.1,+1
11,11,2004-11-24,19-330,CLE,,DET,W (+16),1,37:30,15,22,.682,2,3,.667,11,12,.917,3,3,6,5,3,1,3,3,43,39.2,+12
12,12,2004-11-26,19-332,CLE,@,BOS,W (+2),1,42:48,9,13,.692,0,2,.000,2,3,.667,0,6,6,8,3,1,2,2,20,22.4,+6
13,13,2004-11-27,19-333,CLE,,CHI,W (+22),1,31:55,11,17,.647,1,2,.500,3,4,.750,1,6,7,7,1,0,2,0,26,24.5,+25
14,14,2004-11-29,19-335,CLE,@,LAC,L (-12),1,42:19,9,19,.474,0,2,.000,4,5,.800,1,6,7,5,6,1,3,2,22,20.8,-16
15,15,2004-12-01,19-337,CLE,@,PHO,L (-19),1,40:47,6,19,.316,0,2,.000,3,4,.750,1,2,3,6,2,1,6,2,15,5.1,-17
16,16,2004-12-02,19-338,CLE,@,DEN,W (+19),1,41:10,8,17,.471,0,0,,1,2,.500,1,7,8,9,2,1,5,3,17,13.5,+23
17,17,2004-12-04,19-340,CLE,,TOR,W (+8),1,42:50,10,17,.588,1,3,.333,6,7,.857,0,6,6,10,2,1,3,2,27,26.4,+15
18,18,2004-12-07,19-343,CLE,,NJN,W (+6),1,46:05,11,22,.500,0,1,.000,5,6,.833,0,2,2,8,3,0,3,4,27,20.2,+6
19,19,2004-12-08,19-344,CLE,@,CHI,L (-28),1,37:18,5,15,.333,0,2,.000,9,12,.750,0,2,2,6,1,1,4,2,19,11.0,-22
20,20,2004-12-11,19-347,CLE,@,SAS,L (-19),1,41:13,10,19,.526,1,3,.333,2,2,1.000,3,3,6,10,4,0,3,2,23,23.9,-18
21,21,2004-12-13,19-349,CLE,@,MEM,W (+6),1,45:49,14,22,.636,1,3,.333,2,4,.500,0,5,5,8,7,0,3,2,31,30.7,+10
22,22,2004-12-15,19-351,CLE,,POR,W (+24),1,37:09,10,18,.556,2,3,.667,3,3,1.000,2,9,11,7,3,2,3,1,25,26.4,+18
