Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-10-26,25-300,MIA,@,BOS,L (-8),1,42:39,10,21,.476,3,6,.500,8,12,.667,0,4,4,3,1,2,8,1,31,16.0,+1
2,2,2010-10-27,25-301,MIA,@,PHI,W (+10),1,37:33,5,12,.417,0,2,.000,6,6,1.000,0,6,6,7,2,1,9,1,16,9.6,+6
3,3,2010-10-29,25-303,MIA,,ORL,W (+26),1,30:02,6,13,.462,2,3,.667,1,2,.500,0,6,6,7,0,0,3,4,15,10.0,+13
4,4,2010-10-31,25-305,MIA,@,NJN,W (+23),1,28:57,5,12,.417,0,4,.000,10,12,.833,0,7,7,7,2,0,5,3,20,15.6,+18
5,5,2010-11-02,25-307,MIA,,MIN,W (+32),1,32:26,7,12,.583,0,2,.000,6,8,.750,0,0,0,12,2,1,1,0,20,23.7,+32
6,6,2010-11-05,25-310,MIA,@,NOH,L (-3),1,41:12,6,16,.375,1,2,.500,7,8,.875,0,7,7,10,3,1,3,0,20,20.6,-6
7,7,2010-11-06,25-311,MIA,,NJN,W (+12),1,33:35,9,16,.563,2,4,.500,3,5,.600,0,3,3,9,2,0,4,1,23,19.4,+11
8,8,2010-11-09,25-314,MIA,,UTA,L (-2),1,46:44,5,18,.278,0,1,.000,10,11,.909,2,9,11,14,1,3,2,3,20,22.8,+4
9,9,2010-11-11,25-316,MIA,,BOS,L (-5),1,44:28,9,21,.429,0,5,.000,17,22,.773,0,10,10,9,3,0,4,3,35,29.0,0
10,10,2010-11-13,25-318,MIA,,TOR,W (+9),1,39:20,8,21,.381,0,1,.000,7,11,.636,1,1,2,11,2,0,3,0,23,17.6,+11
11,11,2010-11-17,25-322,MIA,,PHO,W (+27),1,23:03,9,15,.600,0,2,.000,2,3,.667,3,5,8,9,3,0,3,5,20,20.6,+24
12,12,2010-11-19,25-324,MIA,,CHA,W (+8),1,39:29,12,25,.480,2,5,.400,6,7,.857,0,2,2,5,2,0,4,1,32,20.6,+4
13,13,2010-11-20,25-325,MIA,@,MEM,L (-2),1,42:06,11,23,.478,2,4,.500,5,6,.833,0,3,3,11,1,0,4,2,29,21.7,-1
14,14,2010-11-22,25-327,MIA,,IND,L (-16),1,41:34,6,14,.429,2,8,.250,11,15,.733,0,5,5,6,1,0,6,3,25,15.5,-1
15,15,2010-11-24,25-329,MIA,@,ORL,L (-9),1,40:44,9,18,.500,1,3,.333,6,8,.750,1,5,6,4,1,0,3,3,25,17.0,-15
16,16,2010-11-26,25-331,MIA,,PHI,W (+9),1,40:34,5,15,.333,1,5,.200,9,11,.818,1,7,8,6,2,1,2,1,20,18.0,+11
17,17,2010-11-27,25-332,MIA,@,DAL,L (-11),1,36:04,5,19,.263,0,4,.000,13,15,.867,2,6,8,4,1,0,5,3,23,11.7,-14
18,18,2010-11-29,25-334,MIA,,WAS,W (+11),1,38:11,10,18,.556,1,1,1.000,9,11,.818,1,5,6,5,1,1,7,3,30,19.8,+3
19,19,2010-12-01,25-336,MIA,,DET,W (+25),1,31:14,8,15,.533,1,1,1.000,1,2,.500,2,4,6,3,1,0,4,0,18,12.0,+17
20,20,2010-12-02,25-337,MIA,@,CLE,W (+28),1,30:02,15,25,.600,2,7,.286,6,9,.667,0,5,5,8,1,1,0,1,38,33.7,+26
21,21,2010-12-04,25-339,MIA,,ATL,W (+12),1,37:19,5,11,.455,1,1,1.000,11,13,.846,0,7,7,4,1,1,2,1,22,19.7,+7
