Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2008-10-28,23-303,CLE,@,BOS,L (-5),1,36:00,9,21,.429,0,4,.000,4,8,.500,1,6,7,6,2,1,3,4,22,14.1,-3
2,2,2008-10-30,23-305,CLE,,CHA,W (+17),1,30:16,7,15,.467,0,2,.000,8,12,.667,2,7,9,9,0,1,5,3,22,17.0,+10
3,3,2008-11-01,23-307,CLE,@,NOH,L (-12),1,37:43,6,15,.400,0,3,.000,3,4,.750,2,5,7,13,3,0,5,3,15,15.3,-8
4,4,2008-11-03,23-309,CLE,@,DAL,W (+19),1,34:08,8,20,.400,0,2,.000,13,15,.867,2,6,8,3,2,1,1,1,29,24.0,+13
5,5,2008-11-05,23-311,CLE,,CHI,W (+14),1,35:50,13,23,.565,0,2,.000,15,16,.938,2,7,9,6,4,0,5,1,41,36.0,+22
6,6,2008-11-07,23-313,CLE,,IND,W (+4),1,39:20,11,24,.458,1,6,.167,4,7,.571,2,7,9,8,1,4,4,2,27,21.5,-3
7,7,2008-11-08,23-314,CLE,@,CHI,W (+9),1,39:12,13,29,.448,4,7,.571,11,13,.846,4,9,13,4,0,0,2,1,41,31.0,+12
8,8,2008-11-11,23-317,CLE,,MIL,W (+6),1,42:46,16,24,.667,1,4,.250,8,10,.800,0,5,5,6,3,0,2,2,41,35.7,+11
9,9,2008-11-13,23-319,CLE,,DEN,W (+11),1,38:02,10,20,.500,0,0,,2,4,.500,1,7,8,11,3,0,5,4,22,18.1,+14
10,10,2008-11-15,23-321,CLE,,UTA,W (+12),1,42:03,13,21,.619,3,7,.429,9,11,.818,3,2,5,7,2,2,2,2,38,35.9,+33
11,11,2008-11-18,23-324,CLE,@,NJN,W (+24),1,35:58,9,20,.450,1,4,.250,12,17,.706,0,8,8,4,0,1,3,3,31,20.3,+17
12,12,2008-11-19,23-325,CLE,@,DET,L (-7),1,39:30,8,21,.381,0,4,.000,9,10,.900,1,5,6,6,4,0,3,1,25,20.1,-5
13,13,2008-11-22,23-328,CLE,,ATL,W (+14),1,36:35,8,19,.421,1,4,.250,7,7,1.000,1,6,7,8,2,0,2,3,24,20.8,+16
14,14,2008-11-25,23-331,CLE,@,NYK,W (+18),1,30:20,7,14,.500,3,7,.429,9,11,.818,0,4,4,1,1,1,1,0,26,20.8,+17
15,15,2008-11-26,23-332,CLE,,OKC,W (+35),1,17:08,7,12,.583,0,1,.000,0,0,,0,3,3,3,1,3,0,0,14,14.5,+24
16,16,2008-11-28,23-334,CLE,,GSW,W (+15),1,30:39,9,13,.692,3,4,.750,2,4,.500,1,6,7,8,3,1,2,2,23,25.7,+24
17,17,2008-11-29,23-335,CLE,@,MIL,W (+12),1,41:22,12,27,.444,1,5,.200,7,10,.700,1,6,7,5,2,1,3,3,32,21.2,+7
18,18,2008-12-03,23-339,CLE,,NYK,W (+36),1,28:09,5,10,.500,1,4,.250,10,10,1.000,0,5,5,6,5,1,0,0,21,27.4,+30
19,19,2008-12-05,23-341,CLE,,IND,W (+24),1,37:37,4,12,.333,0,4,.000,3,4,.750,2,6,8,11,1,3,2,2,11,15.0,+32
20,20,2008-12-06,23-342,CLE,@,CHA,W (+20),1,27:40,8,17,.471,2,4,.500,7,8,.875,2,3,5,4,2,2,3,3,25,20.2,+27
21,21,2008-12-09,23-345,CLE,,TOR,W (+20),1,30:24,11,18,.611,2,5,.400,7,8,.875,0,5,5,4,3,0,2,1,31,27.3,+19
22,22,2008-12-10,23-346,CLE,@,PHI,W (+8),1,39:04,10,22,.455,2,6,.333,7,8,.875,2,2,4,5,0,2,1,4,29,21.5,-1
23,23,2008-12-12,23-348,CLE,,PHI,W (+16),1,36:50,9,21,.429,1,4,.250,9,12,.750,3,4,7,7,1,3,0,2,28,26.2,+13
24,24,2008-12-13,23-349,CLE,@,ATL,L (-5),1,45:40,10,19,.526,2,7,.286,11,12,.917,2,4,6,9,4,1,1,2,33,35.1,+1
25,25,2008-12-17,23-353,CLE,@,MIN,W (+23),1,39:38,14,20,.700,2,6,.333,2,4,.500,0,6,6,3,2,2,0,1,32,29.7,+22
26,26,2008-12-19,23-355,CLE,@,DEN,W (+17),1,38:45,13,20,.650,0,2,.000,7,8,.875,3,7,10,8,0,0,6,3,33,26.4,+14
27,27,2008-12-21,23-357,CLE,@,OKC,W (+11),1,42:46,14,24,.583,2,4,.500,1,2,.500,2,2,4,7,3,1,3,1,31,26.6,+16
28,28,2008-12-23,23-359,CLE,,HOU,W (+9),1,38:20,11,23,.478,0,3,.000,5,7,.714,1,8,9,5,3,1,7,2,27,17.0,+14
29,29,2008-12-25,23-361,CLE,,WAS,W (+4),1,38:13,6,13,.462,0,2,.000,6,10,.600,0,5,5,6,3,1,3,1,18,15.7,-4
30,30,2008-12-28,23-364,CLE,,MIA,W (+7),1,42:31,12,19,.632,2,4,.500,7,12,.583,0,6,6,9,0,1,2,1,33,28.9,+8
31,31,2008-12-30,24-000,CLE,@,MIA,L (-9),1,43:29,12,24,.500,3,8,.375,11,14,.786,0,2,2,7,0,2,5,2,38,25.9,-6
32,32,2009-01-02,24-003,CLE,,CHI,W (+25),1,37:16,3,8,.375,2,3,.667,8,8,1.000,1,9,10,11,2,3,5,1,16,21.4,+27
33,33,2009-01-04,24-005,CLE,@,WAS,L (-3),1,40:46,11,22,.500,3,9,.333,5,8,.625,0,6,6,10,1,2,7,4,30,20.4,0
34,34,2009-01-07,24-008,CLE,,CHA,W (+30),1,30:59,9,16,.563,0,1,.000,3,3,1.000,0,4,4,4,2,2,4,1,21,16.4,+23
35,35,2009-01-09,24-010,CLE,,BOS,W (+15),1,35:49,13,25,.520,3,7,.429,9,9,1.000,1,6,7,6,4,3,3,2,38,34.7,+20
36,36,2009-01-13,24-014,CLE,@,MEM,W (+15),1,40:12,9,15,.600,1,5,.200,11,14,.786,0,11,11,10,3,1,2,2,30,33.1,+21
37,37,2009-01-15,24-016,CLE,@,CHI,L (-9),1,44:19,8,28,.286,1,6,.167,11,16,.688,3,11,14,7,1,1,8,4,28,12.0,+2
38,38,2009-01-16,24-017,CLE,,NOH,W (+14),1,42:59,12,24,.500,0,2,.000,5,6,.833,3,11,14,7,3,1,4,3,29,25.4,+19
39,39,2009-01-19,24-020,CLE,@,LAL,L (-17),1,42:10,9,25,.360,1,5,.200,4,8,.500,2,7,9,4,4,1,6,1,23,12.1,-11
40,40,2009-01-21,24-022,CLE,@,POR,W (+6),1,42:02,14,30,.467,3,6,.500,3,4,.750,0,7,7,14,1,0,2,1,34,28.7,+14
41,41,2009-01-23,24-024,CLE,@,GSW,W (+1),1,40:39,10,24,.417,2,5,.400,10,16,.625,2,7,9,8,3,2,2,2,32,27.5,+12
42,42,2009-01-24,24-025,CLE,@,UTA,W (+5),1,41:08,14,27,.519,1,6,.167,4,6,.667,4,10,14,9,1,0,2,1,33,29.6,+16
43,43,2009-01-27,24-028,CLE,,SAC,W (+7),1,37:31,5,10,.500,0,2,.000,13,15,.867,5,10,15,11,0,3,2,1,23,31.1,+6
44,44,2009-01-29,24-030,CLE,@,ORL,L (-11),1,37:41,10,27,.370,0,2,.000,3,6,.500,1,7,8,8,1,1,2,1,23,14.6,-9
45,45,2009-01-30,24-031,CLE,,LAC,W (+17),1,37:08,9,17,.529,2,4,.500,5,6,.833,0,7,7,6,3,1,3,2,25,22.5,+32
46,46,2009-02-01,24-033,CLE,@,DET,W (+10),1,38:50,12,25,.480,3,8,.375,6,11,.545,4,0,4,8,1,1,5,3,33,22.2,-8
47,47,2009-02-03,24-035,CLE,,TOR,W (+18),1,37:31,9,20,.450,2,5,.400,13,13,1.000,1,6,7,4,1,2,3,3,33,26.1,+23
48,48,2009-02-04,24-036,CLE,@,NYK,W (+5),1,44:03,17,33,.515,2,7,.286,16,19,.842,0,9,9,11,0,2,3,1,52,42.9,+7
49,49,2009-02-08,24-040,CLE,,LAL,L (-10),1,40:08,5,20,.250,2,8,.250,4,8,.500,3,5,8,12,0,0,1,1,16,13.0,-12
50,50,2009-02-10,24-042,CLE,@,IND,L (-1),1,41:10,15,21,.714,4,7,.571,13,14,.929,0,7,7,4,1,1,7,1,47,37.1,+7
51,51,2009-02-11,24-043,CLE,,PHO,W (+17),1,33:17,9,18,.500,1,5,.200,7,8,.875,2,4,6,6,2,1,3,1,26,22.7,+22
52,52,2009-02-18,24-050,CLE,@,TOR,W (+17),1,33:12,9,17,.529,0,3,.000,2,2,1.000,1,8,9,9,1,1,5,1,20,17.4,+20
53,53,2009-02-20,24-052,CLE,@,MIL,W (+8),1,40:04,16,29,.552,8,11,.727,15,22,.682,1,4,5,9,0,0,6,3,55,39.3,+13
54,54,2009-02-22,24-054,CLE,,DET,W (+21),1,30:34,6,13,.462,0,3,.000,8,10,.800,0,5,5,9,2,1,0,0,20,23.0,+22
55,55,2009-02-24,24-056,CLE,,MEM,W (+15),1,29:40,4,10,.400,1,2,.500,6,8,.750,0,5,5,8,0,1,2,1,15,14.2,+13
56,56,2009-02-26,24-058,CLE,@,HOU,L (-19),1,33:51,7,21,.333,2,5,.400,5,6,.833,0,1,1,0,1,2,3,4,21,6.8,-14
57,57,2009-02-27,24-059,CLE,@,SAS,W (+11),1,32:08,12,23,.522,3,6,.500,3,3,1.000,4,10,14,4,2,0,1,2,30,27.5,+29
58,58,2009-03-01,24-061,CLE,@,ATL,W (+1),1,43:43,8,20,.400,2,7,.286,8,14,.571,1,5,6,11,1,2,0,3,26,23.9,+4
59,59,2009-03-02,24-062,CLE,@,MIA,W (+7),1,43:40,13,21,.619,6,7,.857,10,10,1.000,1,7,8,4,1,1,6,4,42,32.2,+8
60,60,2009-03-04,24-064,CLE,,MIL,W (+18),1,33:12,7,11,.636,4,5,.800,5,7,.714,1,7,8,4,1,0,3,2,23,20.1,+24
61,61,2009-03-06,24-066,CLE,@,BOS,L (-11),1,38:17,5,15,.333,2,5,.400,9,12,.750,0,6,6,5,1,0,4,1,21,13.2,-1
62,62,2009-03-07,24-067,CLE,,MIA,W (+10),1,43:19,5,15,.333,0,3,.000,4,7,.571,2,8,10,12,1,1,2,0,14,16.2,+10
63,63,2009-03-10,24-070,CLE,@,LAC,W (+4),1,43:42,10,23,.435,0,6,.000,12,16,.750,4,9,13,11,2,2,4,2,32,30.1,+7
64,64,2009-03-12,24-072,CLE,@,PHO,W (+8),1,43:27,10,24,.417,3,8,.375,11,13,.846,6,4,10,13,3,3,3,0,34,37.0,+7
65,65,2009-03-13,24-073,CLE,@,SAC,W (+3),1,46:59,16,30,.533,4,11,.364,15,17,.882,0,4,4,9,2,3,3,2,51,43.4,+6
66,66,2009-03-15,24-075,CLE,,NYK,W (+5),1,39:52,9,17,.529,0,3,.000,1,3,.333,1,7,8,10,4,3,3,1,19,22.4,-1
67,67,2009-03-17,24-077,CLE,,ORL,W (+4),1,42:40,15,27,.556,4,7,.571,9,10,.900,2,10,12,8,4,1,6,1,43,38.0,+5
68,68,2009-03-19,24-079,CLE,,POR,W (+5),1,46:47,10,22,.455,0,3,.000,6,11,.545,0,11,11,10,1,2,0,4,26,23.7,-1
69,69,2009-03-21,24-081,CLE,,ATL,W (+6),1,40:03,9,21,.429,1,4,.250,3,5,.600,1,6,7,5,3,1,2,2,22,17.0,+10
70,70,2009-03-22,24-082,CLE,@,NJN,W (+8),1,39:09,9,17,.529,1,4,.250,11,15,.733,2,9,11,8,1,0,1,0,30,29.8,+14
71,71,2009-03-25,24-085,CLE,,NJN,W (+11),1,39:06,7,14,.500,1,1,1.000,7,7,1.000,1,7,8,11,1,0,1,0,22,25.5,+19
72,72,2009-03-27,24-087,CLE,,MIN,W (+22),1,33:36,8,14,.571,2,3,.667,7,10,.700,2,10,12,7,0,0,5,0,25,21.5,+25
73,73,2009-03-29,24-089,CLE,,DAL,W (+28),1,31:19,9,22,.409,2,4,.500,4,5,.800,1,5,6,12,1,2,0,0,24,24.8,+15
74,74,2009-03-31,24-091,CLE,,DET,W (+6),1,40:36,9,24,.375,0,2,.000,7,8,.875,1,11,12,3,3,1,1,0,25,20.2,+10
75,75,2009-04-02,24-093,CLE,@,WAS,L (-8),1,38:20,11,18,.611,4,8,.500,5,7,.714,1,8,9,6,0,0,6,1,31,22.9,-13
