Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2005-11-02,20-307,CLE,,NOK,W (+22),1,33:23,9,16,.563,6,7,.857,7,8,.875,1,2,3,4,2,0,3,3,31,24.9,+22
2,2,2005-11-04,20-309,CLE,@,SAS,L (-26),1,36:34,7,16,.438,0,3,.000,6,7,.857,0,6,6,4,0,1,3,3,20,12.3,-19
3,3,2005-11-05,20-310,CLE,@,MEM,L (-7),1,40:51,14,29,.483,4,9,.444,4,5,.800,0,2,2,6,2,0,2,2,36,24.9,-3
4,4,2005-11-07,20-312,CLE,@,TOR,W (+12),1,36:28,9,17,.529,0,2,.000,9,12,.750,0,3,3,6,1,2,1,3,27,22.8,0
5,5,2005-11-09,20-314,CLE,,SEA,W (+27),1,35:38,10,18,.556,0,2,.000,11,11,1.000,1,4,5,1,0,1,4,1,31,21.3,+25
6,6,2005-11-11,20-316,CLE,,MEM,W (+19),1,25:40,5,11,.455,0,1,.000,6,6,1.000,1,5,6,2,3,1,3,5,16,12.6,+24
7,7,2005-11-13,20-318,CLE,@,ORL,W (+8),1,48:54,9,20,.450,1,4,.250,7,11,.636,0,5,5,3,0,1,2,2,26,15.5,+7
8,8,2005-11-15,20-320,CLE,,WAS,W (+15),1,42:26,15,23,.652,2,3,.667,5,5,1.000,1,9,10,4,0,2,3,1,37,31.1,+17
9,9,2005-11-18,20-323,CLE,,ORL,W (+18),1,33:56,6,17,.353,0,3,.000,4,6,.667,1,5,6,4,2,0,4,2,16,7.9,+25
10,10,2005-11-19,20-324,CLE,@,PHI,W (+3),1,46:51,14,24,.583,0,2,.000,8,10,.800,2,9,11,10,1,1,5,1,36,31.4,+8
11,11,2005-11-22,20-327,CLE,,BOS,W (+22),1,40:59,13,20,.650,1,3,.333,9,11,.818,0,5,5,4,2,2,1,4,36,31.5,+14
12,12,2005-11-24,20-329,CLE,@,IND,L (-22),1,43:02,6,20,.300,0,4,.000,7,11,.636,1,9,10,4,5,1,6,4,19,10.1,-18
