Date,Age,Tm,Opp,W_or_L,MP,PTS
2012-06-03,27-156,MIA,BOS,L (-2),48:06,29
2012-06-05,27-158,MIA,BOS,L (-4),45:20,30
2012-06-07,27-160,MIA,BOS,W (+19),44:49,45
2012-06-09,27-162,MIA,BOS,W (+13),47:32,31
2012-06-12,27-165,MIA,OKC,L (-11),45:50,30
2012-06-14,27-167,MIA,OKC,W (+4),42:19,32
2012-06-17,27-170,MIA,OKC,W (+6),43:50,29
2012-06-19,27-172,MIA,OKC,W (+6),44:21,26
2012-06-21,27-174,MIA,OKC,W (+15),44:09,26
2013-04-21,28-112,MIA,MIL,W (+23),34:31,27
2013-04-23,28-114,MIA,MIL,W (+12),38:39,19
2013-04-25,28-116,MIA,MIL,W (+13),32:48,22
2013-04-28,28-119,MIA,MIL,W (+11),41:06,30
2013-05-06,28-127,MIA,CHI,L (-7),43:44,24
2013-05-08,28-129,MIA,CHI,W (+37),32:29,19
2013-05-10,28-131,MIA,CHI,W (+10),44:25,25
2013-05-13,28-134,MIA,CHI,W (+23),43:12,27
2013-05-15,28-136,MIA,CHI,W (+3),44:26,23
2013-05-22,28-143,MIA,IND,W (+1),46:33,30
2013-05-24,28-145,MIA,IND,L (-4),45:17,36
2013-05-26,28-147,MIA,IND,W (+18),41:13,22
2013-05-28,28-149,MIA,IND,L (-7),43:19,24
2013-05-30,28-151,MIA,IND,W (+11),44:29,30
2013-06-01,28-153,MIA,IND,L (-14),42:17,29
2013-06-03,28-155,MIA,IND,W (+23),40:49,32
2013-06-06,28-158,MIA,SAS,L (-4),41:35,18
2013-06-09,28-161,MIA,SAS,W (+19),40:33,17
2013-06-11,28-163,MIA,SAS,L (-36),39:07,15
2013-06-13,28-165,MIA,SAS,W (+16),41:23,33
2013-06-16,28-168,MIA,SAS,L (-10),43:41,25
2013-06-18,28-170,MIA,SAS,W (+3),49:46,32
2013-06-20,28-172,MIA,SAS,W (+7),45:00,37
2014-04-20,29-111,MIA,CHA,W (+11),38:32,27
2014-04-23,29-114,MIA,CHA,W (+4),39:50,32
2014-04-26,29-117,MIA,CHA,W (+13),35:59,30
2014-04-28,29-119,MIA,CHA,W (+11),42:54,31
2014-05-06,29-127,MIA,BRK,W (+21),36:21,22
2014-05-08,29-129,MIA,BRK,W (+12),39:07,22
2014-05-10,29-131,MIA,BRK,L (-14),39:39,28
2014-05-12,29-133,MIA,BRK,W (+6),43:28,49
2014-05-14,29-135,MIA,BRK,W (+2),43:36,29
2014-05-18,29-139,MIA,IND,L (-11),40:50,25
2014-05-20,29-141,MIA,IND,W (+4),42:21,22
2014-05-24,29-145,MIA,IND,W (+12),39:46,26
2014-05-26,29-147,MIA,IND,W (+12),35:48,32
2014-05-28,29-149,MIA,IND,L (-3),24:21,7
2014-05-30,29-151,MIA,IND,W (+25),31:39,25
2014-06-05,29-157,MIA,SAS,L (-15),32:53,25
2014-06-08,29-160,MIA,SAS,W (+2),37:36,35
2014-06-10,29-162,MIA,SAS,L (-19),39:49,22
2014-06-12,29-164,MIA,SAS,L (-21),37:39,28
2014-06-15,29-167,MIA,SAS,L (-17),41:16,31
2015-04-19,30-110,CLE,BOS,W (+13),41:55,20
2015-04-21,30-112,CLE,BOS,W (+8),41:48,30
2015-04-23,30-114,CLE,BOS,W (+8),41:58,31
2015-04-26,30-117,CLE,BOS,W (+8),46:22,27
2015-05-04,30-125,CLE,CHI,L (-7),41:56,19
2015-05-06,30-127,CLE,CHI,W (+15),34:13,33
2015-05-08,30-129,CLE,CHI,L (-3),43:39,27
2015-05-10,30-131,CLE,CHI,W (+2),43:09,25
2015-05-12,30-133,CLE,CHI,W (+5),40:56,38
2015-05-14,30-135,CLE,CHI,W (+21),41:03,15
2015-05-20,30-141,CLE,ATL,W (+8),38:02,31
2015-05-22,30-143,CLE,ATL,W (+12),38:58,30
2015-05-24,30-145,CLE,ATL,W (+3),46:47,37
2015-05-26,30-147,CLE,ATL,W (+30),29:10,23
2015-06-04,30-156,CLE,GSW,L (-8),45:46,44
2015-06-07,30-159,CLE,GSW,W (+2),50:20,39
2015-06-09,30-161,CLE,GSW,W (+5),46:00,40
2015-06-11,30-163,CLE,GSW,L (-21),40:55,20
2015-06-14,30-166,CLE,GSW,L (-13),44:46,40
2015-06-16,30-168,CLE,GSW,L (-8),46:42,32
2016-04-17,31-109,CLE,DET,W (+5),40:51,22
