Date,Age,Tm,Opp,W_or_L,MP,PTS
2007-10-31,22-305,CLE,DAL,L (-18),36:09,10
2007-11-02,22-307,CLE,NYK,W (+4),44:25,45
2007-11-04,22-309,CLE,PHO,L (-11),43:13,27
2007-11-06,22-311,CLE,GSW,W (+4),41:51,24
2007-11-07,22-312,CLE,UTA,L (-2),40:45,32
2007-11-09,22-314,CLE,SAC,W (+2),43:51,26
2007-11-11,22-316,CLE,LAC,W (+8),35:55,22
2007-11-12,22-317,CLE,DEN,L (-22),33:47,27
2007-11-14,22-319,CLE,ORL,L (-1),47:14,39
2007-11-16,22-321,CLE,UTA,W (+5),40:16,40
2007-11-20,22-325,CLE,MIL,L (-4),44:06,34
2007-11-21,22-326,CLE,MIN,W (+11),39:03,45
2007-11-24,22-329,CLE,TOR,W (+3),44:41,37
2007-11-25,22-330,CLE,IND,W (+5),35:47,30
2007-11-27,22-332,CLE,BOS,W (+5),45:46,38
2007-11-28,22-333,CLE,DET,L (-35),19:31,15
2007-12-11,22-346,CLE,IND,W (+13),22:37,17
2007-12-14,22-349,CLE,NJN,L (-8),41:09,29
2007-12-15,22-350,CLE,PHI,L (-6),41:46,21
2007-12-17,22-352,CLE,MIL,W (+5),50:13,31
2007-12-19,22-354,CLE,NYK,L (-18),36:52,32
2007-12-20,22-355,CLE,LAL,W (+4),38:28,33
2007-12-23,22-358,CLE,GSW,L (-9),40:51,25
2007-12-25,22-360,CLE,MIA,W (+14),38:36,25
2007-12-27,22-362,CLE,DAL,W (+7),36:19,24
2007-12-29,22-364,CLE,NOH,L (-10),42:21,21
2008-01-02,23-003,CLE,ATL,W (+4),40:05,36
2008-01-04,23-005,CLE,SAC,W (+4),45:21,24
2008-01-06,23-007,CLE,TOR,W (+3),45:44,39
2008-01-08,23-009,CLE,SEA,W (+16),35:10,22
2008-01-09,23-010,CLE,ATL,L (-9),43:23,31
2008-01-11,23-012,CLE,CHA,W (+7),49:36,31
2008-01-15,23-016,CLE,MEM,W (+8),47:10,51
2008-01-17,23-018,CLE,SAS,W (+2),38:54,27
2008-01-21,23-022,CLE,MIA,W (+7),39:40,28
2008-01-23,23-024,CLE,WAS,W (+36),31:08,23
2008-01-25,23-026,CLE,PHO,L (-2),39:26,36
2008-01-27,23-028,CLE,LAL,W (+3),44:08,41
2008-01-30,23-031,CLE,POR,W (+1),43:53,37
2008-02-02,23-034,CLE,LAC,W (+14),43:48,28
2008-02-05,23-037,CLE,BOS,W (+1),42:24,33
2008-02-07,23-039,CLE,HOU,L (-15),41:13,32
2008-02-08,23-040,CLE,ATL,W (+5),44:00,26
2008-02-10,23-042,CLE,DEN,L (-30),32:36,30
2008-02-11,23-043,CLE,ORL,W (+7),43:51,29
2008-02-13,23-045,CLE,SAS,L (-7),42:44,39
2008-02-19,23-051,CLE,HOU,L (-8),42:08,26
2008-02-20,23-052,CLE,IND,W (+9),43:14,31
2008-02-22,23-054,CLE,WAS,W (+1),44:32,33
2008-02-24,23-056,CLE,MEM,W (+20),39:02,25
2008-02-26,23-058,CLE,MIL,L (-3),37:50,35
2008-02-27,23-059,CLE,BOS,L (-5),39:00,26
2008-02-29,23-061,CLE,MIN,W (+8),43:35,30
2008-03-02,23-063,CLE,CHI,W (+9),39:51,37
2008-03-05,23-066,CLE,NYK,W (+14),43:50,50
2008-03-06,23-067,CLE,CHI,L (-11),37:55,39
2008-03-08,23-069,CLE,IND,W (+8),38:13,38
2008-03-10,23-071,CLE,POR,W (+8),43:41,24
2008-03-12,23-073,CLE,NJN,L (-5),45:41,42
2008-03-13,23-074,CLE,WAS,L (-2),43:23,25
2008-03-16,23-077,CLE,CHA,W (+7),41:40,33
2008-03-17,23-078,CLE,ORL,L (-14),42:14,30
2008-03-19,23-080,CLE,DET,W (+16),41:04,30
2008-03-21,23-082,CLE,TOR,W (+7),41:24,29
2008-03-22,23-083,CLE,MIL,L (-10),38:35,29
2008-03-26,23-087,CLE,NOH,L (-1),40:33,21
2008-03-29,23-090,CLE,DET,L (-14),35:18,13
2008-03-30,23-091,CLE,PHI,W (+3),41:47,26
2008-04-02,23-094,CLE,CHA,W (+4),31:13,29
2008-04-03,23-095,CLE,CHI,L (-3),38:30,33
2008-04-05,23-097,CLE,ORL,L (-15),42:22,17
2008-04-09,23-101,CLE,NJN,W (+21),35:22,33
2008-04-11,23-103,CLE,CHI,L (-5),38:11,34
2008-04-13,23-105,CLE,MIA,W (+8),35:15,13
2008-04-14,23-106,CLE,PHI,W (+1),41:41,27
