Date,Age,Tm,Opp,W_or_L,MP,PTS
2005-11-02,20-307,CLE,NOK,W (+22),33:23,31
2005-11-04,20-309,CLE,SAS,L (-26),36:34,20
2005-11-05,20-310,CLE,MEM,L (-7),40:51,36
2005-11-07,20-312,CLE,TOR,W (+12),36:28,27
2005-11-09,20-314,CLE,SEA,W (+27),35:38,31
2005-11-11,20-316,CLE,MEM,W (+19),25:40,16
2005-11-13,20-318,CLE,ORL,W (+8),48:54,26
2005-11-15,20-320,CLE,WAS,W (+15),42:26,37
2005-11-18,20-323,CLE,ORL,W (+18),33:56,16
2005-11-19,20-324,CLE,PHI,W (+3),46:51,36
2005-11-22,20-327,CLE,BOS,W (+22),40:59,36
2005-11-24,20-329,CLE,IND,L (-22),43:02,19
2005-11-26,20-331,CLE,MIN,L (-4),44:04,38
2005-11-30,20-335,CLE,LAC,W (+7),49:56,28
2005-12-02,20-337,CLE,SEA,L (-7),45:07,34
2005-12-03,20-338,CLE,LAC,L (-12),44:41,30
2005-12-06,20-341,CLE,SAC,W (+5),44:19,30
2005-12-09,20-344,CLE,NJN,L (-9),44:49,32
2005-12-10,20-345,CLE,MIL,L (-5),42:48,52
2005-12-13,20-348,CLE,ATL,L (-6),45:08,39
2005-12-15,20-350,CLE,DEN,W (+9),45:06,26
2005-12-17,20-352,CLE,MIA,W (+8),46:23,41
2005-12-20,20-355,CLE,UTA,W (+25),28:55,25
2005-12-22,20-357,CLE,CHI,W (+8),43:51,37
2005-12-23,20-358,CLE,IND,W (+5),43:51,14
2005-12-26,20-361,CLE,CHI,W (+11),44:58,32
2005-12-27,20-362,CLE,NJN,L (-5),40:18,31
2005-12-31,21-001,CLE,DET,W (+13),44:33,30
2006-01-04,21-005,CLE,MIL,W (+7),45:42,32
2006-01-05,21-006,CLE,HOU,L (-9),44:15,32
2006-01-07,21-008,CLE,MIL,W (+8),45:12,35
2006-01-10,21-011,CLE,NYK,L (-8),46:00,36
2006-01-12,21-013,CLE,LAL,L (-1),40:06,28
2006-01-14,21-015,CLE,PHO,L (-9),43:45,46
2006-01-15,21-016,CLE,POR,L (-2),41:19,29
2006-01-18,21-019,CLE,DEN,L (-1),41:35,24
2006-01-20,21-021,CLE,GSW,L (-20),35:12,14
2006-01-21,21-022,CLE,UTA,W (+18),42:47,51
2006-01-24,21-025,CLE,IND,W (+30),35:22,23
2006-01-25,21-026,CLE,ATL,W (+9),45:54,38
2006-01-27,21-028,CLE,IND,W (+4),45:06,30
2006-01-29,21-030,CLE,PHO,W (+7),42:45,44
2006-01-30,21-031,CLE,CHA,W (+12),31:34,30
2006-02-01,21-033,CLE,NJN,W (+6),44:26,26
2006-02-02,21-034,CLE,MIA,L (-28),39:18,29
2006-02-04,21-036,CLE,PHI,L (-5),47:11,31
2006-02-06,21-038,CLE,MIL,W (+3),45:21,22
2006-02-08,21-040,CLE,MIN,W (+6),45:38,35
2006-02-10,21-042,CLE,WAS,L (-12),45:23,18
2006-02-11,21-043,CLE,GSW,L (-8),43:48,33
2006-02-13,21-045,CLE,SAS,W (+14),40:43,44
2006-02-15,21-047,CLE,BOS,W (+4),53:55,43
2006-02-21,21-053,CLE,ORL,W (+13),42:51,26
2006-02-22,21-054,CLE,PHI,L (-9),43:07,33
2006-02-24,21-056,CLE,WAS,L (-8),47:46,25
2006-02-26,21-058,CLE,DET,L (-12),37:46,22
2006-02-27,21-059,CLE,DET,L (-12),46:34,26
2006-03-01,21-061,CLE,SAC,L (-7),44:40,19
2006-03-02,21-062,CLE,CHI,W (+1),46:37,33
2006-03-05,21-065,CLE,CHI,W (+19),46:27,37
2006-03-07,21-067,CLE,TOR,W (+7),43:44,17
2006-03-08,21-068,CLE,TOR,W (+1),44:17,35
2006-03-10,21-070,CLE,ORL,L (-29),38:58,25
2006-03-12,21-072,CLE,MIA,L (-6),45:17,47
2006-03-14,21-074,CLE,DAL,L (-4),44:58,36
2006-03-17,21-077,CLE,POR,W (+15),44:10,27
2006-03-19,21-079,CLE,LAL,W (+1),46:52,29
2006-03-22,21-082,CLE,CHA,W (+2),50:11,37
2006-03-24,21-084,CLE,BOS,W (+12),44:51,36
2006-03-26,21-086,CLE,HOU,W (+2),48:56,36
2006-03-29,21-089,CLE,DAL,W (+13),43:26,46
2006-04-01,21-092,CLE,MIA,W (+7),45:29,47
2006-04-02,21-093,CLE,CHA,W (+4),41:17,35
2006-04-04,21-095,CLE,PHI,W (+33),34:40,37
2006-04-05,21-096,CLE,NYK,L (-2),44:48,36
2006-04-08,21-099,CLE,NJN,W (+6),44:09,37
2006-04-10,21-101,CLE,NOK,W (+2),42:07,32
2006-04-12,21-103,CLE,DET,L (-23),31:21,22
2006-04-16,21-107,CLE,WAS,L (-12),29:32,17
